,Pclass,Sex,Age,Fare,Cabin,Embarked,solo
143,3,1,19.0,6.75,0,2,1
144,2,1,18.0,11.5,0,1,1
145,2,1,19.0,12.25,0,1,0
146,3,1,27.0,7.7958,0,1,1
147,3,2,9.0,6.875,0,1,0
148,2,1,36.5,8.666666666666666,1,1,0
149,2,1,42.0,13.0,0,1,1
150,2,1,51.0,12.525,0,1,1
151,1,2,22.0,33.3,1,1,0
152,3,1,55.5,8.05,0,1,1
153,3,1,40.5,4.833333333333333,0,1,0
154,3,1,25.47778534880993,7.3125,0,1,1
155,1,1,51.0,30.6896,0,0,0
156,3,2,16.0,7.7333,0,2,1
157,3,1,30.0,8.05,0,1,1
158,3,1,26.301615551520616,8.6625,0,1,1
159,3,1,5.096103363870303,6.322727272727272,0,1,0
160,3,1,44.0,8.05,0,1,0
161,2,2,40.0,15.75,0,1,1
162,3,1,26.0,7.775,0,1,1
163,3,1,17.0,8.6625,0,1,1
164,3,1,1.0,6.614583333333333,0,1,0
165,3,1,9.0,6.841666666666666,0,1,0
166,1,2,21.297853611728243,27.5,1,1,0
167,3,2,45.0,4.6499999999999995,0,1,0
168,1,1,55.53645077460712,25.925,0,1,1
169,3,1,28.0,56.4958,0,1,1
170,1,1,61.0,33.5,1,1,1
171,3,1,4.0,4.854166666666667,0,2,0
172,3,2,1.0,3.7111,0,1,0
173,3,1,21.0,7.925,0,1,1
174,1,1,56.0,30.6958,1,0,1
175,3,1,18.0,2.6180666666666665,0,1,0
176,3,1,14.321122588466148,5.0933399999999995,0,1,0
177,1,2,50.0,28.7125,1,0,1
178,2,1,30.0,13.0,0,1,1
179,3,1,36.0,0.0,0,1,1
180,3,2,12.020266182757316,6.322727272727272,0,1,0
181,2,1,25.28208000898969,15.05,0,0,1
182,3,1,9.0,4.483928571428572,0,1,0
183,2,1,1.0,9.75,1,1,0
184,3,2,4.0,7.341666666666666,0,1,0
185,1,1,45.38133559307265,50.0,1,1,1
186,3,2,23.395619869782895,7.75,0,2,0
187,1,1,45.0,26.55,0,1,1
188,3,1,40.0,5.166666666666667,0,2,0
189,3,1,36.0,7.8958,0,1,1
190,2,2,32.0,13.0,0,1,1
191,2,1,19.0,13.0,0,1,1
192,3,2,19.0,3.9271,0,1,0
193,2,1,3.0,8.666666666666666,1,1,0
194,1,2,44.0,27.7208,1,0,1
195,1,2,58.0,146.5208,1,0,1
196,3,1,44.13763117073652,7.75,0,2,1
197,3,1,42.0,4.2021,0,1,0
198,3,2,22.92905515581749,7.75,0,2,1
199,2,2,24.0,13.0,0,1,1
200,3,1,28.0,9.5,0,1,1
201,3,1,5.096103363870303,6.322727272727272,0,1,0
202,3,1,34.0,6.4958,0,1,1
203,3,1,45.5,7.225,0,0,1
204,3,1,18.0,8.05,0,1,1
205,3,2,2.0,5.23125,1,1,0
206,3,1,32.0,7.925,0,1,0
207,3,1,26.0,18.7875,0,0,1
208,3,2,16.0,7.75,0,2,1
209,1,1,40.0,31.0,1,0,1
210,3,1,24.0,7.05,0,1,1
211,2,2,35.0,21.0,0,1,1
212,3,1,22.0,7.25,0,1,1
213,2,1,30.0,13.0,0,1,1
214,3,1,20.592084115337737,3.875,0,2,0
215,1,2,31.0,56.6375,1,0,0
216,3,2,27.0,7.925,0,1,1
217,2,1,42.0,13.5,0,1,0
218,1,2,32.0,76.2917,1,0,1
219,2,1,30.0,10.5,0,1,1
220,3,1,16.0,8.05,0,1,1
221,2,1,27.0,13.0,0,1,1
222,3,1,51.0,8.05,0,1,1
223,3,1,27.643628382849226,7.8958,0,1,1
224,1,1,38.0,45.0,1,1,0
225,3,1,22.0,9.35,0,1,1
226,2,1,19.0,10.5,0,1,1
227,3,1,20.5,7.25,0,1,1
228,2,1,18.0,13.0,0,1,1
229,3,2,16.473694417250844,5.0933399999999995,0,1,0
230,1,2,35.0,41.7375,1,1,0
231,3,1,29.0,7.775,0,1,1
232,2,1,59.0,13.5,0,1,1
233,3,2,5.0,4.483928571428572,0,1,0
234,2,1,24.0,10.5,0,1,1
235,3,2,24.11268217244083,7.55,0,1,1
236,2,1,44.0,13.0,0,1,0
237,2,2,8.0,8.75,0,1,0
238,2,1,19.0,10.5,0,1,1
239,2,1,33.0,12.275,0,1,1
240,3,2,19.05341874931816,7.2271,0,0,0
241,3,2,23.395619869782895,7.75,0,2,0
242,2,1,29.0,10.5,0,1,1
243,3,1,22.0,7.125,0,1,1
244,3,1,30.0,7.225,0,0,1
245,1,1,44.0,30.0,1,2,0
246,3,2,25.0,7.775,0,1,1
247,2,2,24.0,4.833333333333333,0,1,0
248,1,1,37.0,17.518066666666666,1,1,0
249,2,1,54.0,13.0,0,1,0
250,3,1,30.79624351013844,7.25,0,1,1
251,3,2,29.0,3.4875000000000003,1,1,0
252,1,1,62.0,26.55,1,1,1
253,3,1,30.0,8.05,0,1,0
254,3,2,41.0,6.7375,0,1,0
255,3,2,29.0,5.081933333333333,0,0,0
256,1,2,32.50826321222815,79.2,0,0,1
257,1,2,30.0,86.5,1,1,1
258,1,2,35.0,512.3292,0,0,1
259,2,2,50.0,13.0,0,1,0
260,3,1,44.13763117073652,7.75,0,2,1
261,3,1,3.0,4.483928571428572,0,1,0
262,1,1,52.0,26.55,1,1,0
263,1,1,40.0,0.0,1,1,1
264,3,2,22.92905515581749,7.75,0,2,1
265,2,1,36.0,10.5,0,1,1
266,3,1,16.0,6.614583333333333,0,1,0
267,3,1,25.0,3.8875,0,1,0
268,1,2,58.0,76.73125,1,1,0
269,1,2,35.0,135.6333,1,1,1
270,1,1,45.53071792084691,31.0,0,1,1
271,3,1,25.0,0.0,0,1,1
272,2,2,41.0,9.75,0,1,0
273,1,1,37.0,14.85,1,0,0
274,3,2,22.92905515581749,7.75,0,2,1
275,1,2,63.0,38.97915,1,1,0
276,3,2,45.0,7.75,0,1,1
277,2,1,34.72170626920611,0.0,0,1,1
278,3,1,7.0,4.854166666666667,0,2,0
279,3,2,35.0,6.75,0,1,0
280,3,1,65.0,7.75,0,2,1
281,3,1,28.0,7.8542,0,1,1
282,3,1,16.0,9.5,0,1,1
283,3,1,19.0,8.05,0,1,1
284,1,1,51.1363135447524,26.0,1,1,1
285,3,1,33.0,8.6625,0,0,1
286,3,1,30.0,9.5,0,1,1
287,3,1,22.0,7.8958,0,1,1
288,2,1,42.0,13.0,0,1,1
289,3,2,22.0,7.75,0,2,1
290,1,2,26.0,78.85,0,1,1
291,1,2,19.0,45.5396,1,0,0
292,2,1,36.0,12.875,1,0,1
293,3,2,24.0,8.85,0,1,1
294,3,1,24.0,7.8958,0,1,1
295,1,1,41.42215592438773,27.7208,0,0,1
296,3,1,23.5,7.2292,0,0,1
297,1,2,2.0,37.8875,1,1,0
298,1,1,50.33818270118913,30.5,1,1,1
299,1,2,50.0,123.7604,1,0,0
300,3,2,22.92905515581749,7.75,0,2,1
301,3,1,40.55806200994425,7.75,0,2,0
302,3,1,19.0,0.0,0,1,1
303,2,2,32.53620071508893,12.35,1,2,1
304,3,1,30.39665896059371,8.05,0,1,1
305,1,1,0.92,37.8875,1,1,0
306,1,2,27.336478262740684,110.8833,0,0,1
307,1,2,17.0,54.45,1,0,0
308,2,1,30.0,12.0,0,0,0
309,1,2,30.0,56.9292,1,0,1
310,1,2,24.0,83.1583,1,0,1
311,1,2,18.0,52.475,1,0,0
312,2,2,26.0,8.666666666666666,0,1,0
313,3,1,28.0,7.8958,0,1,1
314,2,1,43.0,8.75,0,1,0
315,3,2,26.0,7.8542,0,1,1
316,2,2,24.0,13.0,0,1,0
317,2,1,54.0,14.0,0,1,1
318,1,2,31.0,54.95556666666667,1,1,0
319,1,2,40.0,44.833333333333336,1,0,0
320,3,1,22.0,7.25,0,1,1
321,3,1,27.0,7.8958,0,1,1
322,2,2,30.0,12.35,0,2,1
323,2,2,22.0,9.666666666666666,0,1,0
324,3,1,5.096103363870303,6.322727272727272,0,1,0
325,1,2,36.0,135.6333,1,0,1
326,3,1,61.0,6.2375,0,1,1
327,2,2,36.0,13.0,1,1,1
328,3,2,31.0,6.841666666666666,0,1,0
329,1,2,16.0,28.9896,1,0,0
330,3,2,23.395619869782895,7.75,0,2,0
331,1,1,45.5,28.5,1,1,1
332,1,1,38.0,76.73125,1,1,0
333,3,1,16.0,6.0,0,1,0
334,1,2,21.50592087082268,66.825,0,1,0
335,3,1,27.643628382849226,7.8958,0,1,1
336,1,1,29.0,33.3,1,1,0
337,1,2,41.0,134.5,1,0,1
338,3,1,45.0,8.05,0,1,1
339,1,1,45.0,35.5,1,1,1
340,2,1,2.0,8.666666666666666,1,1,0
341,1,2,24.0,43.833333333333336,1,1,0
342,2,1,28.0,13.0,0,1,1
343,2,1,25.0,13.0,0,1,1
344,2,1,36.0,13.0,0,1,1
345,2,2,24.0,13.0,1,1,1
346,2,2,40.0,13.0,0,1,1
347,3,2,25.504682701462084,8.05,0,1,0
348,3,1,3.0,5.3,0,1,0
349,3,1,42.0,8.6625,0,1,1
350,3,1,23.0,9.225,0,1,1
351,1,1,66.62382647789276,35.0,1,1,1
352,3,1,15.0,2.409733333333333,0,0,0
353,3,1,25.0,8.9,0,1,0
354,3,1,30.780432310819524,7.225,0,0,1
355,3,1,28.0,9.5,0,1,1
356,1,2,22.0,27.5,1,1,0
357,2,2,38.0,13.0,0,1,1
358,3,2,19.504680680268745,7.8792,0,2,1
359,3,2,19.504680680268745,7.8792,0,2,1
360,3,1,40.0,4.6499999999999995,0,1,0
361,2,1,29.0,13.8604,0,0,0
362,3,2,45.0,7.2271,0,0,0
363,3,1,35.0,7.05,0,1,1
364,3,1,40.55806200994425,7.75,0,2,0
365,3,1,30.0,7.25,0,1,1
366,1,2,60.0,37.625,1,0,0
367,3,2,15.147225402806244,7.2292,0,0,1
368,3,2,22.92905515581749,7.75,0,2,1
369,1,2,24.0,69.3,1,0,1
370,1,1,25.0,27.72085,1,0,0
371,3,1,18.0,3.2479,0,1,0
372,3,1,19.0,8.05,0,1,1
373,1,1,22.0,135.6333,0,0,1
374,3,2,3.0,4.215,0,1,0
375,1,2,31.25860189501204,41.0854,0,0,0
376,3,2,22.0,7.25,0,1,1
377,1,1,27.0,70.5,1,0,0
378,3,1,20.0,4.0125,0,0,1
379,3,1,19.0,7.775,0,1,1
380,1,2,42.0,227.525,0,0,1
381,3,2,1.0,5.247233333333333,0,0,0
382,3,1,32.0,7.925,0,1,1
383,1,2,35.0,26.0,0,1,0
384,3,1,27.643628382849226,7.8958,0,1,1
385,2,1,18.0,73.5,0,1,1
386,3,1,1.0,5.8625,0,1,0
387,2,2,36.0,13.0,0,1,1
388,3,1,23.086364640647474,7.7292,0,2,1
389,2,2,17.0,12.0,0,0,1
390,1,1,36.0,30.0,1,1,0
391,3,1,21.0,7.7958,0,1,1
392,3,1,28.0,2.6416666666666666,0,1,0
393,1,2,23.0,56.6375,1,0,0
394,3,2,24.0,5.566666666666666,1,1,0
395,3,1,22.0,7.7958,0,1,1
396,3,2,31.0,7.8542,0,1,1
397,2,1,46.0,26.0,0,1,1
398,2,1,23.0,10.5,0,1,1
399,2,2,28.0,12.65,0,1,1
400,3,1,39.0,7.925,0,1,1
401,3,1,26.0,8.05,0,1,1
402,3,2,21.0,4.9125,0,1,0
403,3,1,28.0,7.925,0,1,0
404,3,2,20.0,8.6625,0,1,1
405,2,1,34.0,10.5,0,1,0
406,3,1,51.0,7.75,0,1,1
407,2,1,3.0,6.25,0,1,0
408,3,1,21.0,7.775,0,1,1
409,3,2,16.473694417250844,5.0933399999999995,0,1,0
410,3,1,27.643628382849226,7.8958,0,1,1
411,3,1,21.923504471165597,6.8583,0,2,1
412,1,2,33.0,45.0,1,2,0
413,2,1,34.72170626920611,0.0,0,1,1
414,3,1,44.0,7.925,0,1,1
415,3,2,23.00825439647761,8.05,0,1,1
416,2,2,34.0,10.833333333333334,0,1,0
417,2,2,18.0,4.333333333333333,0,1,0
418,2,1,30.0,13.0,0,1,1
419,3,2,10.0,8.049999999999999,0,1,0
420,3,1,31.49489746821873,7.8958,0,0,1
421,3,1,21.0,7.7333,0,2,1
422,3,1,29.0,7.875,0,1,1
423,3,2,28.0,4.8,0,1,0
424,3,1,18.0,6.7375,0,1,0
425,3,1,30.79624351013844,7.25,0,1,1
426,2,2,28.0,13.0,0,1,0
427,2,2,19.0,26.0,0,1,1
428,3,1,44.13763117073652,7.75,0,2,1
429,3,1,32.0,8.05,1,1,1
430,1,1,28.0,26.55,1,1,1
431,3,2,25.504682701462084,8.05,0,1,0
432,2,2,42.0,13.0,0,1,0
433,3,1,17.0,7.125,0,1,1
434,1,1,50.0,27.95,1,1,0
435,1,2,14.0,30.0,1,1,0
436,3,2,21.0,6.875,0,1,0
437,2,2,24.0,3.125,0,1,0
438,1,1,64.0,43.833333333333336,1,1,0
439,2,1,31.0,10.5,0,1,1
440,2,2,45.0,8.75,0,1,0
441,3,1,20.0,9.5,0,1,1
442,3,1,25.0,3.8875,0,1,0
443,2,2,28.0,13.0,0,1,1
444,3,1,21.260667837377305,8.1125,0,1,1
445,1,1,4.0,27.2861,1,1,0
446,2,2,13.0,9.75,0,1,0
447,1,1,34.0,26.55,0,1,1
448,3,2,5.0,4.814575,0,0,0
449,1,1,52.0,30.5,1,1,1
450,2,1,36.0,6.9375,0,1,0
451,3,1,21.96029641589368,9.98335,0,1,0
452,1,1,30.0,27.75,1,0,1
453,1,1,49.0,44.5521,1,0,0
454,3,1,30.39665896059371,8.05,0,1,1
455,3,1,29.0,7.8958,0,0,1
456,1,1,65.0,26.55,1,1,1
457,1,2,37.91294970637823,25.93125,1,1,0
458,2,2,50.0,10.5,0,1,1
459,3,1,44.13763117073652,7.75,0,2,1
460,1,1,48.0,26.55,1,1,1
461,3,1,34.0,8.05,0,1,1
462,1,1,47.0,38.5,1,1,1
463,2,1,48.0,13.0,0,1,1
464,3,1,30.39665896059371,8.05,0,1,1
465,3,1,38.0,7.05,0,1,1
466,2,1,34.72170626920611,0.0,0,1,1
467,1,1,56.0,26.55,0,1,1
468,3,1,23.086364640647474,7.725,0,2,1
469,3,2,0.75,4.814575,0,0,0
470,3,1,30.79624351013844,7.25,0,1,1
471,3,1,38.0,8.6625,0,1,1
472,2,2,33.0,6.9375,0,1,0
473,2,2,23.0,13.7917,1,0,1
474,3,2,22.0,9.8375,0,1,1
475,1,1,47.26444500075489,52.0,1,1,1
476,2,1,34.0,10.5,0,1,0
477,3,1,29.0,3.5229,0,1,0
478,3,1,22.0,7.5208,0,1,1
479,3,2,2.0,6.14375,0,1,0
480,3,1,9.0,5.8625,0,1,0
481,2,1,34.72170626920611,0.0,0,1,1
482,3,1,50.0,8.05,0,1,1
483,3,2,63.0,9.5875,0,1,1
484,1,1,25.0,45.5396,1,0,0
485,3,2,16.473694417250844,5.0933399999999995,0,1,0
486,1,2,35.0,45.0,1,1,0
487,1,1,58.0,29.7,1,0,1
488,3,1,30.0,8.05,0,1,1
489,3,1,9.0,5.3,0,1,0
490,3,1,21.96029641589368,9.98335,0,1,0
491,3,1,21.0,7.25,0,1,1
492,1,1,55.0,30.5,1,1,1
493,1,1,71.0,49.5042,0,0,1
494,3,1,21.0,8.05,0,1,1
495,3,1,21.202163833689166,14.4583,0,0,1
496,1,2,54.0,39.13335,1,0,0
497,3,1,26.8191337341864,15.1,0,1,1
498,1,2,25.0,37.8875,1,1,0
499,3,1,24.0,7.7958,0,1,1
500,3,1,17.0,8.6625,0,1,1
501,3,2,21.0,7.75,0,2,1
502,3,2,17.358055299295867,7.6292,0,2,1
503,3,2,37.0,9.5875,0,1,1
504,1,2,16.0,86.5,1,1,1
505,1,1,18.0,54.45,1,0,0
506,2,2,33.0,8.666666666666666,0,1,0
507,1,1,50.09163180954536,26.55,0,1,1
508,3,1,28.0,22.525,0,1,1
509,3,1,26.0,56.4958,0,1,1
510,3,1,29.0,7.75,0,2,1
511,3,1,30.39665896059371,8.05,0,1,1
512,1,1,36.0,26.2875,1,1,1
513,1,2,54.0,29.7,0,0,0
514,3,1,24.0,7.4958,0,1,1
515,1,1,47.0,34.0208,1,1,1
516,2,2,34.0,10.5,1,1,1
517,3,1,43.499865603387335,24.15,0,2,1
518,2,2,36.0,13.0,0,1,0
519,3,1,32.0,7.8958,0,1,1
520,1,2,30.0,93.5,1,1,1
521,3,1,22.0,7.8958,0,1,1
522,3,1,30.780432310819524,7.225,0,0,1
523,1,2,44.0,28.9896,1,0,0
524,3,1,25.55693765538601,7.2292,0,0,1
525,3,1,40.5,7.75,0,2,1
526,2,2,50.0,10.5,0,1,1
527,1,1,32.56138854221459,221.7792,1,1,1
528,3,1,39.0,7.925,0,1,1
529,2,1,23.0,2.875,0,1,0
530,2,2,2.0,8.666666666666666,0,1,0
531,3,1,25.55693765538601,7.2292,0,0,1
532,3,1,17.0,2.409733333333333,0,0,0
533,3,2,5.341931225240024,7.452766666666666,0,0,0
534,3,2,30.0,8.6625,0,1,1
535,2,2,7.0,8.75,0,1,0
536,1,1,45.0,26.55,1,1,1
537,1,2,30.0,106.425,0,0,1
538,3,1,21.43375924691709,14.5,0,1,1
539,1,2,22.0,16.5,1,0,0
540,1,2,36.0,23.666666666666668,1,1,0
541,3,2,9.0,4.4678571428571425,0,1,0
542,3,2,11.0,4.4678571428571425,0,1,0
543,2,1,32.0,13.0,0,1,0
544,1,1,50.0,53.2125,1,0,0
545,1,1,64.0,26.0,0,1,1
546,2,2,19.0,13.0,0,1,0
547,2,1,28.729049897694814,13.8625,0,0,1
548,3,1,33.0,6.841666666666666,0,1,0
549,2,1,8.0,12.25,0,1,0
550,1,1,17.0,36.9611,1,0,0
551,2,1,27.0,26.0,0,1,1
552,3,1,36.195995170710496,7.8292,0,2,1
553,3,1,22.0,7.225,0,0,1
554,3,2,22.0,7.775,0,1,1
555,1,1,62.0,26.55,0,1,1
556,1,2,48.0,19.8,1,0,0
557,1,1,38.5905744855988,227.525,0,0,1
558,1,2,39.0,26.55,1,1,0
559,3,2,36.0,8.7,0,1,0
560,3,1,44.13763117073652,7.75,0,2,1
561,3,1,40.0,7.8958,0,1,1
562,2,1,28.0,13.5,0,1,1
563,3,1,30.39665896059371,8.05,0,1,1
564,3,2,23.00825439647761,8.05,0,1,1
565,3,1,24.0,8.049999999999999,0,1,0
566,3,1,19.0,7.8958,0,1,1
567,3,2,29.0,4.215,0,1,0
568,3,1,25.55693765538601,7.2292,0,0,1
569,3,1,32.0,7.8542,0,1,1
570,2,1,62.0,10.5,0,1,1
571,1,2,53.0,17.15973333333333,1,1,0
572,1,1,36.0,26.3875,1,1,1
573,3,2,22.92905515581749,7.75,0,2,1
574,3,1,16.0,8.05,0,1,1
575,3,1,19.0,14.5,0,1,1
576,2,2,34.0,13.0,0,1,1
577,1,2,39.0,27.95,1,1,0
578,3,2,15.42377423678976,7.22915,0,0,0
579,3,1,32.0,7.925,0,1,1
580,2,2,25.0,10.0,0,1,0
581,1,2,39.0,36.9611,1,0,0
582,2,1,54.0,26.0,0,1,1
583,1,1,36.0,40.125,1,0,1
584,3,1,33.024562088636465,8.7125,0,0,1
585,1,2,18.0,26.55,1,1,0
586,2,1,47.0,15.0,0,1,1
587,1,1,60.0,26.400000000000002,1,0,0
588,3,1,22.0,8.05,0,1,1
589,3,1,30.39665896059371,8.05,0,1,1
590,3,1,35.0,7.125,0,1,1
591,1,2,52.0,39.13335,1,0,0
592,3,1,47.0,7.25,0,1,1
593,3,2,37.06207387891568,2.5833333333333335,0,2,0
594,2,1,37.0,13.0,0,1,0
595,3,1,36.0,8.049999999999999,0,1,0
596,2,2,17.741860290088315,33.0,0,1,1
597,3,1,49.0,0.0,0,1,1
598,3,1,30.780432310819524,7.225,0,0,1
599,1,1,49.0,28.4646,1,0,0
600,2,2,24.0,6.75,0,1,0
601,3,1,27.643628382849226,7.8958,0,1,1
602,1,1,48.63318574774137,42.4,0,1,1
603,3,1,44.0,8.05,0,1,1
604,1,1,35.0,26.55,0,0,1
605,3,1,36.0,7.775,0,1,0
606,3,1,30.0,7.8958,0,1,1
607,1,1,27.0,30.5,0,1,1
608,2,2,22.0,10.3948,0,0,0
609,1,2,40.0,153.4625,1,1,1
610,3,2,39.0,4.4678571428571425,0,1,0
611,3,1,28.863380336527328,7.05,0,1,1
612,3,2,23.395619869782895,7.75,0,2,0
613,3,1,44.13763117073652,7.75,0,2,1
614,3,1,35.0,8.05,0,1,1
615,2,2,24.0,16.25,0,1,0
616,3,1,34.0,4.8,0,1,0
617,3,2,26.0,8.05,0,1,0
618,2,2,4.0,9.75,1,1,0
619,2,1,26.0,10.5,0,1,1
620,3,1,27.0,7.2271,0,0,0
621,1,1,42.0,26.2771,1,1,0
622,3,1,20.0,5.247233333333333,0,0,0
623,3,1,21.0,7.8542,0,1,1
624,3,1,21.0,16.1,0,1,1
625,1,1,61.0,32.3208,1,1,1
626,2,1,57.0,12.35,0,2,1
627,1,2,21.0,77.9583,1,1,1
628,3,1,26.0,7.8958,0,1,1
629,3,1,23.086364640647474,7.7333,0,2,1
630,1,1,80.0,30.0,1,1,1
631,3,1,51.0,7.0542,0,1,1
632,1,1,32.0,30.5,1,0,1
633,1,1,38.39558334822038,0.0,0,1,1
634,3,2,9.0,4.6499999999999995,0,1,0
635,2,2,28.0,13.0,0,1,1
636,3,1,32.0,7.925,0,1,1
637,2,1,31.0,8.75,0,1,0
638,3,2,41.0,6.614583333333333,0,1,0
639,3,1,28.92407473226824,8.05,0,1,0
640,3,1,20.0,7.8542,0,1,1
641,1,2,24.0,69.3,1,0,1
642,3,2,2.0,4.6499999999999995,0,1,0
