,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,work_phone,phone,email,occyp_type,family_size,begin_month,credit,Age,worked_year
51,1,1,1,0,495000.0,4,2,0,1,0,0,1,4,2,-10,2,24,3
52,0,0,1,0,54000.0,2,0,0,0,0,1,0,18,2,-37,2,66,999
53,0,1,1,2,306000.0,1,1,0,0,0,0,0,1,4,-42,2,37,11
54,0,0,0,1,99000.0,4,0,0,0,0,0,0,2,3,-2,1,43,1
55,0,0,1,0,180000.0,4,0,0,0,0,0,0,0,2,-24,2,38,8
56,0,1,1,0,130500.0,4,0,0,0,0,1,0,0,2,-29,2,44,26
57,0,0,1,0,225000.0,3,1,1,0,0,0,0,1,1,-3,1,47,2
58,0,0,1,0,144000.0,2,0,0,0,0,0,0,18,2,-23,2,64,999
59,0,0,1,0,360000.0,2,1,0,0,0,1,0,18,2,-25,2,63,999
60,1,1,1,0,112500.0,2,0,3,0,0,0,0,18,1,-1,1,59,999
61,1,1,0,1,270000.0,3,1,0,0,0,0,0,3,3,-15,2,31,4
62,0,1,1,0,225000.0,4,1,0,0,0,1,0,1,2,-40,1,48,9
63,1,1,1,0,315000.0,4,1,0,0,0,0,0,3,2,-21,2,43,9
64,1,1,0,0,67500.0,3,0,1,2,0,0,0,9,1,-32,2,25,2
65,0,0,1,0,40500.0,4,0,0,0,1,0,0,10,2,-10,2,35,14
66,1,0,1,1,144000.0,4,0,0,0,0,0,0,0,3,-4,1,38,8
67,0,0,1,2,157500.0,3,1,0,0,0,0,0,5,4,-2,1,33,3
68,0,0,0,0,180000.0,4,0,0,0,0,0,0,0,2,-14,1,28,4
69,0,0,1,0,157500.0,4,1,0,0,0,0,1,7,2,-59,2,42,8
70,1,0,1,0,81000.0,3,1,1,0,0,1,0,0,1,-39,2,27,5
71,1,1,0,2,202500.0,4,0,0,0,0,0,0,0,4,-54,2,44,10
72,0,0,0,0,351000.0,3,1,0,0,0,1,0,6,2,-4,2,59,3
73,0,0,1,0,180000.0,2,0,0,0,0,1,0,18,2,-34,2,64,999
74,0,0,1,1,67500.0,4,0,0,0,1,1,0,2,3,-25,2,28,1
75,0,1,1,0,315000.0,3,0,0,0,0,0,1,1,2,-34,2,43,15
76,0,1,0,0,315000.0,3,1,0,0,1,1,0,6,2,-15,2,37,2
77,0,0,0,0,135000.0,4,1,1,0,0,0,0,1,1,-7,1,27,1
78,0,1,1,0,112500.0,4,0,0,0,1,0,0,2,2,-23,1,35,1
79,0,1,1,1,225000.0,4,1,3,0,0,0,0,1,2,-2,0,41,5
80,0,0,1,0,247500.0,3,0,2,0,0,0,0,0,2,-2,1,49,1
81,1,1,1,0,135000.0,4,0,0,0,0,0,1,2,2,0,0,28,3
82,0,1,1,0,216000.0,4,1,2,0,0,0,1,6,2,-53,2,42,4
83,0,0,0,2,180000.0,4,1,0,0,0,0,0,5,4,-38,1,33,5
84,1,1,1,0,135000.0,2,0,0,0,0,1,0,18,2,-27,2,64,999
85,1,1,0,0,184500.0,4,0,0,2,0,0,0,0,2,-41,1,49,3
86,1,1,1,1,112500.0,4,0,0,0,1,0,1,4,3,-45,2,34,1
87,0,0,1,0,270000.0,3,0,4,0,1,1,1,1,1,-56,2,36,1
88,0,1,1,0,360000.0,3,0,0,0,0,0,0,3,2,-45,2,56,15
89,1,0,0,0,450000.0,3,2,0,0,1,1,0,3,2,-59,2,40,11
90,0,0,1,0,45000.0,1,0,0,0,1,0,0,10,2,-30,2,55,26
91,0,1,1,0,202500.0,4,0,0,0,0,0,0,11,2,-20,2,51,8
92,1,1,1,1,135000.0,3,0,0,0,0,0,0,0,3,-5,2,33,2
93,0,0,1,0,202500.0,3,0,1,0,0,0,0,5,1,-22,1,52,10
94,0,0,1,0,180000.0,2,0,0,0,0,0,0,18,2,-26,2,65,999
95,1,0,1,0,79650.0,2,0,0,0,0,1,0,18,2,-14,2,44,999
96,1,0,1,0,450000.0,3,0,0,0,0,0,0,9,2,-56,2,65,6
97,1,1,1,0,157500.0,4,0,2,0,0,0,0,4,2,-46,2,26,3
98,1,1,1,0,450000.0,3,1,1,0,0,0,1,2,1,-5,2,30,2
99,0,0,0,0,270000.0,1,0,3,0,0,1,1,7,1,-35,2,53,34
100,0,0,1,0,135000.0,4,1,0,0,0,0,0,11,2,-9,2,60,23
101,0,0,1,0,81000.0,4,0,0,0,1,1,0,3,2,-2,1,54,8
102,0,0,0,1,135000.0,3,0,0,0,0,0,0,3,3,-12,2,34,2
103,1,1,0,0,315000.0,4,1,0,0,1,1,0,3,2,-12,2,43,10
104,1,1,1,0,225000.0,3,1,1,0,0,1,0,2,1,-7,0,44,7
105,1,1,1,0,135000.0,3,0,0,0,0,0,0,0,2,-5,2,27,7
106,0,0,0,1,90000.0,4,0,0,0,0,1,0,2,3,-47,2,44,5
107,0,1,0,1,306000.0,4,1,0,0,0,0,0,1,3,-4,1,25,5
108,0,0,1,0,153000.0,4,1,1,0,0,1,0,1,1,-22,2,29,2
109,0,0,1,0,126000.0,4,0,0,0,1,1,0,5,2,-13,2,62,6
110,1,1,1,0,315000.0,3,1,0,0,0,0,0,3,2,-57,2,35,0
111,1,1,1,1,225000.0,4,0,0,0,0,0,0,4,3,-44,2,44,6
112,0,0,0,0,193500.0,4,0,1,0,0,1,0,0,1,-4,2,49,1
113,0,0,1,2,90000.0,3,0,0,0,0,0,0,8,4,-36,1,48,3
114,1,1,1,2,135000.0,4,1,0,0,0,0,1,3,4,-43,2,32,8
115,0,0,0,0,81000.0,2,0,0,0,0,0,0,18,2,-49,2,57,999
116,0,1,1,1,382500.0,4,0,0,0,0,0,0,3,3,-11,2,39,8
117,0,0,1,0,202500.0,3,0,0,0,0,0,0,2,2,-27,2,44,2
118,0,0,1,0,112500.0,4,1,0,0,0,1,0,2,2,-47,2,50,16
119,0,0,1,2,144000.0,4,0,0,0,1,1,0,8,4,0,1,34,5
120,0,0,1,0,157500.0,2,0,4,0,0,0,0,18,1,-4,1,59,999
121,0,0,0,0,144000.0,4,0,0,2,1,1,0,2,2,-35,2,46,27
122,0,1,1,2,283500.0,1,1,0,0,0,0,0,1,4,-39,2,35,11
123,0,0,1,0,202500.0,4,0,0,0,0,0,0,5,2,-48,2,53,17
124,0,1,1,2,90000.0,3,0,0,0,0,0,0,6,4,-55,2,42,9
125,1,0,1,0,360000.0,3,0,0,0,0,0,0,3,2,-42,2,34,11
126,0,1,0,1,175500.0,3,0,1,2,0,0,0,0,2,-45,2,32,14
127,1,1,1,1,360000.0,3,1,0,0,0,1,1,0,3,-30,2,45,1
128,0,0,1,1,112500.0,4,0,0,0,0,0,0,0,3,-38,1,38,14
129,1,0,0,1,315000.0,4,0,0,0,0,0,0,0,3,-11,2,48,5
130,0,0,1,0,297000.0,3,0,1,3,0,0,0,0,1,-1,0,42,9
131,0,1,0,0,202500.0,3,0,2,1,0,1,0,2,2,-33,0,39,15
132,0,0,0,0,225000.0,3,1,0,0,1,1,0,4,2,-35,2,29,1
133,0,1,0,1,387000.0,4,1,0,0,0,0,0,3,3,-22,2,36,7
134,0,1,1,0,135000.0,2,0,4,0,0,0,0,18,1,-6,2,63,999
135,1,1,0,1,337500.0,3,1,3,0,0,1,0,3,2,-23,0,42,1
136,0,0,0,1,225000.0,3,0,2,0,0,0,0,6,3,-29,2,35,1
137,0,1,1,1,225000.0,3,0,0,0,0,0,0,2,3,-46,2,37,9
138,0,0,1,0,54000.0,2,0,0,0,0,0,0,18,2,-2,0,67,999
139,0,1,0,0,157500.0,3,0,0,0,0,1,0,2,2,-39,2,37,3
140,1,1,1,1,180000.0,4,1,0,1,1,0,0,0,3,-15,0,33,5
141,0,1,1,1,112500.0,3,1,2,0,0,0,1,1,3,-12,2,29,8
142,1,1,1,0,360000.0,4,1,0,0,0,1,0,3,2,-11,2,61,5
143,0,1,1,0,256500.0,3,0,0,0,0,0,1,1,2,-45,2,38,3
144,0,1,0,0,180000.0,4,0,0,0,0,0,0,7,2,-8,2,28,4
145,0,1,0,0,202500.0,1,0,0,0,0,1,0,7,2,-7,2,54,33
146,0,0,0,0,247500.0,4,1,0,0,1,1,0,3,2,-6,1,39,20
147,0,0,1,0,157500.0,4,1,0,0,0,0,0,2,2,-11,1,35,2
148,1,1,1,0,225000.0,4,0,0,0,0,1,0,0,2,-26,2,40,2
149,0,0,1,2,112500.0,4,0,0,0,0,0,0,0,4,-49,1,35,7
150,0,1,0,1,157500.0,4,1,0,0,0,0,0,0,3,-41,2,33,8
151,1,1,1,0,360000.0,3,0,0,0,0,0,0,4,2,-33,2,42,1
152,0,1,1,0,360000.0,4,0,3,0,1,0,0,7,1,-35,2,29,2
153,1,1,1,0,180000.0,3,0,0,0,0,0,0,4,2,-32,1,49,10
154,0,0,0,0,175500.0,4,0,0,0,1,0,0,0,2,-46,2,52,30
155,0,0,1,0,90000.0,2,0,0,0,0,0,0,18,2,-35,2,56,999
156,1,0,1,1,135000.0,4,0,3,0,0,0,0,0,2,-38,2,46,2
157,1,0,1,2,157500.0,4,0,0,0,0,0,0,0,4,-44,2,28,4
158,1,0,1,1,202500.0,1,1,0,0,0,0,0,1,3,-39,2,29,6
159,0,0,1,0,153000.0,2,1,0,0,0,1,0,18,2,-51,1,60,999
160,0,1,1,1,72000.0,4,0,0,0,0,0,0,2,3,-11,2,47,3
161,1,1,1,2,360000.0,4,0,0,0,0,1,0,3,4,-33,0,37,2
162,0,0,0,1,540000.0,4,0,3,0,1,0,0,3,2,-60,2,45,6
163,0,0,1,0,155250.0,2,0,0,0,0,0,0,18,2,-24,2,60,999
164,1,1,1,0,189000.0,4,0,0,0,0,0,1,9,2,-3,1,57,2
165,0,0,1,0,139500.0,1,1,0,0,1,1,0,1,2,-4,1,58,2
166,0,0,1,0,495000.0,2,0,4,0,0,1,0,18,1,-15,2,59,999
167,1,1,0,0,459000.0,3,0,0,0,1,1,0,4,2,-14,2,44,0
168,0,0,0,0,157500.0,4,0,0,0,1,1,0,0,2,-21,1,54,27
169,0,0,1,1,225000.0,4,0,3,0,0,0,0,0,2,-3,1,39,10
170,1,1,1,1,450000.0,3,0,0,0,0,1,1,1,3,-60,2,50,2
171,0,0,0,0,135000.0,4,0,0,0,0,0,0,11,2,-2,0,42,2
172,1,0,1,1,135000.0,4,0,0,0,0,0,0,0,3,-49,1,43,22
173,0,0,1,0,189000.0,2,0,0,0,0,0,0,18,2,-19,0,63,999
174,0,0,1,0,225000.0,3,1,0,0,0,0,1,2,2,-15,2,29,3
175,1,0,1,0,112500.0,4,0,0,0,0,0,0,4,2,-2,1,29,4
176,0,1,0,0,315000.0,1,1,0,0,1,0,0,3,2,-26,2,49,27
177,0,0,0,0,157500.0,3,1,1,3,0,0,0,2,1,-22,1,32,4
178,1,0,0,0,126000.0,2,0,0,0,0,0,0,18,2,-12,2,56,999
179,1,1,1,0,315000.0,3,0,0,3,0,0,0,4,2,-19,2,46,6
180,0,1,1,0,720000.0,3,1,3,0,1,1,0,3,1,-58,2,57,13
181,0,0,1,0,90000.0,2,0,0,0,0,0,0,18,2,-5,0,57,999
182,0,0,1,2,67500.0,4,1,0,0,1,0,0,1,4,-12,0,28,3
183,0,0,1,0,157500.0,2,0,0,0,0,1,0,18,2,-42,1,63,999
184,1,1,0,0,225000.0,4,0,0,4,0,0,1,4,2,-46,2,41,3
185,0,0,1,0,180000.0,4,3,4,0,1,1,0,10,1,-49,2,46,6
186,0,1,1,0,216000.0,4,1,0,0,0,0,0,14,2,-10,2,51,5
187,0,1,1,1,157500.0,3,0,0,0,0,0,0,0,3,-4,1,38,12
188,0,0,0,0,112500.0,2,0,4,0,0,0,0,18,1,-26,0,55,999
189,0,0,1,0,112500.0,4,0,0,0,0,0,0,0,2,-44,2,45,13
190,0,0,1,0,90000.0,2,0,1,0,0,1,0,18,1,-13,0,64,999
191,0,0,0,0,121500.0,2,0,0,0,0,0,0,18,2,-28,2,58,999
192,0,0,1,0,135000.0,4,1,0,0,0,0,0,0,2,-14,2,36,4
193,1,1,0,0,202500.0,3,0,0,0,0,0,0,9,2,-22,0,44,7
194,1,1,0,1,252000.0,1,1,0,0,1,1,0,5,3,-19,1,34,5
195,0,0,1,0,202500.0,4,0,2,0,0,0,0,0,2,-5,2,30,2
196,1,1,1,0,202500.0,4,0,0,0,0,0,0,3,2,-36,2,27,6
197,1,0,1,1,360000.0,4,0,2,0,0,0,0,2,3,-49,2,32,7
198,0,0,1,2,225000.0,1,0,0,0,1,0,0,7,4,-26,1,36,15
199,0,0,1,2,360000.0,4,0,0,0,0,1,0,2,4,-11,2,43,2
200,1,1,1,0,202500.0,4,1,0,0,0,0,0,3,2,-3,1,40,5
201,0,1,1,0,225000.0,4,1,0,0,0,0,0,1,2,-10,1,34,10
202,0,0,0,0,135000.0,4,1,0,0,1,0,0,1,2,-8,1,39,12
203,1,1,1,0,360000.0,3,0,0,0,0,1,0,0,2,-41,2,32,11
204,1,0,0,0,382500.0,4,0,0,2,1,1,0,3,2,-46,1,47,3
205,0,0,1,0,171000.0,4,0,1,3,0,0,0,0,1,-28,2,46,2
206,1,0,0,0,292500.0,1,0,0,0,1,1,0,1,2,-48,1,31,8
207,0,1,0,0,144000.0,4,0,4,0,0,0,0,16,1,-6,2,39,4
208,0,0,0,2,112500.0,1,1,0,0,0,0,1,1,4,-3,0,32,7
209,0,0,1,0,81000.0,2,0,0,0,0,1,0,18,2,-18,2,59,999
210,0,1,1,1,225000.0,4,1,3,0,0,0,0,1,2,0,1,41,5
211,0,0,1,0,315000.0,3,1,3,0,1,1,0,6,1,-52,2,49,7
212,1,1,1,1,427500.0,4,1,0,0,0,0,0,3,3,-3,1,41,1
213,0,0,0,0,78750.0,4,0,0,1,1,0,0,9,2,-13,2,33,6
214,0,0,0,0,67500.0,2,1,4,0,0,0,0,18,1,-30,0,66,999
215,0,0,1,0,121500.0,4,0,0,0,0,0,0,0,2,-13,2,60,6
216,0,0,0,0,144000.0,4,0,1,0,1,1,0,1,1,-42,2,46,20
217,0,0,1,0,135000.0,2,0,0,0,0,0,0,18,2,-45,1,61,999
218,0,0,0,0,94500.0,2,0,0,0,0,1,0,18,2,-41,0,59,999
219,0,1,0,0,562500.0,4,1,0,0,1,0,0,3,2,-12,0,40,8
220,0,0,1,0,90000.0,2,0,1,0,0,0,0,18,1,-32,1,60,999
221,0,0,0,1,72000.0,3,1,0,0,0,0,1,6,3,-43,2,39,5
222,1,0,1,0,144000.0,4,0,2,0,0,0,0,9,2,-11,2,46,5
223,0,1,0,0,202500.0,3,0,0,2,0,1,0,6,2,-17,2,58,3
224,0,0,0,0,270000.0,4,1,0,0,1,1,0,3,2,-28,2,48,16
225,1,1,0,1,180000.0,4,0,0,0,0,0,0,0,3,-12,1,31,12
226,0,1,1,2,315000.0,3,1,0,1,0,0,0,3,4,-50,2,35,4
227,1,1,1,0,180000.0,4,0,0,0,0,0,0,4,2,-49,1,54,9
228,1,0,1,0,292500.0,3,1,1,3,0,1,0,2,1,-7,0,27,3
229,0,0,1,0,90000.0,2,1,0,0,0,0,0,18,2,-51,2,58,999
230,0,0,0,0,103500.0,4,0,0,0,1,0,0,7,2,-37,2,49,30
231,0,1,0,0,67500.0,2,0,0,0,0,1,0,18,2,-19,2,63,999
232,0,1,1,0,225000.0,4,1,2,0,0,0,0,2,2,-17,0,30,1
233,1,1,1,0,112500.0,4,0,0,0,0,0,0,0,2,-27,1,44,21
234,1,1,1,0,450000.0,3,0,0,0,0,1,1,4,2,-59,1,50,3
235,1,0,1,0,247500.0,3,1,2,0,0,0,0,1,2,-11,1,44,1
236,1,1,0,0,247500.0,3,0,0,0,0,0,0,4,2,-20,1,48,4
237,0,0,0,0,112500.0,1,0,0,0,1,1,0,1,2,-27,2,39,18
238,1,0,0,0,225000.0,4,0,0,0,1,0,0,0,2,-29,2,43,0
239,0,1,1,1,270000.0,4,1,3,0,0,1,1,2,2,-37,2,38,0
240,1,1,0,0,382500.0,1,1,0,4,0,0,0,3,2,-3,1,33,11
241,1,0,0,2,202500.0,4,0,0,0,0,1,0,0,4,-18,1,35,9
242,0,0,0,2,180000.0,3,0,0,0,1,0,0,6,4,-6,2,38,4
243,0,0,1,0,112500.0,3,0,1,0,0,0,0,2,1,-13,2,44,2
244,1,0,0,1,99000.0,4,0,1,0,0,0,0,0,2,-1,1,49,14
245,0,1,1,1,157500.0,1,0,0,0,0,0,0,0,3,-23,0,38,9
246,0,1,1,0,202500.0,4,1,0,0,0,0,0,6,2,-43,1,55,21
247,0,0,1,0,90000.0,4,0,0,0,0,0,1,10,2,-28,2,51,8
248,1,1,1,2,157500.0,3,1,0,1,0,0,0,4,4,-47,2,39,2
249,1,0,0,0,180000.0,4,1,0,0,0,0,0,1,2,-43,1,41,3
250,1,0,1,1,180000.0,3,0,0,2,0,0,0,5,3,-11,1,35,6
251,0,0,0,0,202500.0,2,0,0,0,0,1,0,18,2,-14,2,56,999
252,0,1,0,1,90000.0,4,2,0,3,0,0,0,0,3,-6,1,34,10
253,0,0,1,0,225000.0,3,1,1,0,1,1,0,1,1,-22,2,54,19
254,0,1,1,0,126000.0,3,0,0,0,0,0,0,1,2,-32,2,28,2
255,0,0,1,1,180000.0,1,1,0,0,0,0,1,5,3,-5,1,30,10
256,0,0,1,2,360000.0,3,0,1,0,0,0,0,2,3,-25,2,37,10
257,0,0,1,0,157500.0,2,0,4,0,0,0,0,18,1,-17,1,65,999
258,0,0,1,0,315000.0,4,0,3,0,0,0,0,0,1,-18,0,42,9
259,0,1,1,1,270000.0,4,0,0,0,0,0,0,0,3,-46,2,40,13
260,0,0,1,1,180000.0,4,1,2,0,0,0,0,2,3,-41,1,38,5
261,0,0,1,2,180000.0,4,0,0,0,1,0,0,1,4,-18,2,37,18
262,1,0,0,0,180000.0,3,2,0,0,0,0,0,0,2,-46,2,31,6
263,0,0,0,1,180000.0,4,2,0,1,0,0,0,2,3,-38,2,27,7
264,0,0,0,0,81000.0,2,0,0,0,0,0,0,18,2,-33,2,62,999
265,0,0,0,0,67500.0,3,0,2,0,0,0,0,2,2,-10,0,26,4
266,0,0,1,0,238500.0,4,1,0,0,1,1,0,2,2,-12,2,56,8
267,0,1,1,0,202500.0,2,1,4,0,0,0,1,18,1,-39,2,58,999
268,0,0,1,0,630000.0,4,1,3,0,1,1,0,6,1,-41,2,60,4
269,0,0,1,0,405000.0,3,0,1,0,0,0,0,2,1,-25,2,37,5
270,1,1,0,2,135000.0,4,1,0,0,0,0,0,1,4,-42,0,35,4
271,0,1,0,0,112500.0,4,1,0,1,1,1,0,1,2,-11,2,29,5
272,0,0,1,0,67500.0,2,0,0,0,0,0,0,18,2,-13,2,63,999
273,1,1,0,2,135000.0,4,0,0,1,0,0,0,4,4,-23,2,45,2
274,1,1,1,0,184500.0,1,1,0,0,0,0,0,3,2,-60,2,38,0
275,1,1,0,1,337500.0,1,1,0,0,0,0,0,1,3,-2,1,35,10
276,0,0,0,0,67500.0,2,0,3,0,0,0,0,18,1,-8,2,59,999
277,1,0,1,1,90000.0,3,0,0,1,0,0,0,0,3,-20,0,23,0
278,0,0,1,0,180000.0,4,1,0,0,1,0,0,1,2,0,1,39,19
279,1,1,1,0,112500.0,2,0,0,0,0,0,0,18,2,-35,1,55,999
280,0,0,1,0,112500.0,4,0,0,0,0,1,0,8,2,-44,1,61,7
281,0,0,1,0,76500.0,2,0,0,0,0,1,0,18,2,-9,2,67,999
282,1,0,0,0,90000.0,2,0,1,0,0,0,0,18,1,-5,2,56,999
283,1,1,1,0,252000.0,3,1,0,0,0,0,0,4,2,-33,2,38,7
284,1,1,1,0,180000.0,2,0,2,0,0,1,0,18,2,-22,2,64,999
285,0,0,1,0,112500.0,4,0,4,0,1,0,0,0,1,-3,0,46,11
286,1,0,1,1,562500.0,4,2,0,0,1,1,0,3,3,-35,2,38,15
287,0,0,0,0,112500.0,3,0,0,0,0,0,0,2,2,-16,2,49,2
288,0,0,1,0,270000.0,4,0,1,0,0,0,0,1,1,-53,2,35,3
289,1,0,0,3,90000.0,1,0,0,0,0,0,1,1,5,-5,2,39,2
290,0,0,0,2,135000.0,3,0,0,0,1,1,0,0,4,-16,2,34,12
291,0,0,0,0,157500.0,1,1,0,0,1,1,0,1,2,-23,2,32,2
292,0,0,0,0,135000.0,3,0,0,0,0,1,0,2,2,-31,0,39,6
293,0,1,1,0,301500.0,2,1,0,0,0,1,0,18,2,-7,2,58,999
294,1,1,1,0,225000.0,4,0,0,0,0,0,0,0,2,-20,1,28,3
295,0,0,0,0,135000.0,1,1,3,1,1,0,0,17,1,-42,2,53,5
296,1,1,0,0,247500.0,4,2,3,0,1,1,0,3,1,-9,2,28,4
297,0,0,0,0,270000.0,4,0,2,4,1,1,0,2,2,-25,2,25,2
298,1,1,1,0,315000.0,4,1,0,0,0,0,0,2,2,-3,1,23,3
299,0,0,1,0,135000.0,3,0,0,0,0,0,1,0,2,-54,2,32,6
300,1,1,0,2,315000.0,3,0,0,0,0,1,0,0,4,-48,2,42,8
301,1,0,0,0,180000.0,3,0,0,0,1,1,0,0,2,-17,1,38,4
302,0,1,1,0,256500.0,3,0,1,0,0,0,0,1,1,-21,1,51,2
303,1,1,1,0,180000.0,4,0,0,0,0,0,0,5,2,-23,2,36,3
304,0,0,1,0,112500.0,2,0,0,0,0,1,0,18,2,-5,0,51,999
305,0,0,0,2,382500.0,1,0,0,0,0,0,0,9,4,-33,0,52,13
306,0,0,1,0,112500.0,4,0,0,2,0,0,0,2,2,-33,1,56,10
307,1,1,1,2,450000.0,3,1,0,0,1,1,0,3,4,-25,2,49,12
308,1,1,1,0,180000.0,4,0,0,0,0,0,0,2,2,-9,1,47,8
309,0,0,0,0,247500.0,3,0,2,0,1,1,0,0,2,-55,2,45,13
310,0,1,1,0,315000.0,3,1,0,0,0,0,0,3,2,-39,2,35,10
311,1,0,1,0,229500.0,4,0,1,0,1,1,0,4,1,-19,1,45,4
312,0,0,1,0,148500.0,4,1,0,0,0,0,0,1,2,-20,2,48,2
313,0,0,1,0,135000.0,1,1,0,0,0,1,0,1,2,-20,1,52,24
314,0,0,0,0,135000.0,4,0,0,0,0,1,0,1,2,-3,1,47,15
315,0,0,0,0,166500.0,4,1,0,0,0,0,0,1,2,-14,2,59,11
316,0,1,1,0,463500.0,4,1,0,0,1,1,0,3,2,-34,0,57,11
317,0,0,1,0,90000.0,2,0,2,0,0,0,0,18,2,-14,2,64,999
318,0,0,1,0,157500.0,1,0,4,0,0,1,0,4,1,-7,1,63,6
319,0,0,0,1,225000.0,3,0,2,0,0,0,0,6,3,-21,2,35,1
320,0,1,0,2,135000.0,4,1,2,2,1,1,0,2,4,-41,1,30,4
321,1,1,0,4,202500.0,3,0,0,0,0,0,0,9,6,-30,2,42,7
322,1,0,1,1,202500.0,3,0,0,0,0,0,0,4,3,-15,2,44,3
323,1,1,1,1,405000.0,3,0,0,0,0,0,0,3,3,-22,2,45,2
324,1,1,1,0,135000.0,4,0,0,0,0,1,0,12,2,-7,1,51,9
325,1,1,1,0,225000.0,4,1,1,1,1,1,0,0,1,-21,2,26,2
326,0,1,0,0,225000.0,4,0,4,0,0,0,0,2,1,-1,0,39,1
327,0,0,0,0,126000.0,3,0,0,2,1,1,0,2,2,-45,2,37,17
328,1,1,1,1,270000.0,4,0,0,0,0,1,0,0,3,-22,2,40,4
329,0,0,1,0,90000.0,1,0,3,0,0,0,0,1,1,-14,2,39,1
